 -180.7265700750   -0.0562772774   -0.0064633677
 -180.7088826750   -0.0562817996   -0.0064641579
 -180.6911952751   -0.0562863226   -0.0064649482
 -180.6735078751   -0.0562908464   -0.0064657385
 -180.6558204751   -0.0562953710   -0.0064665289
 -180.6381330752   -0.0562998964   -0.0064673193
 -180.6204456752   -0.0563044226   -0.0064681098
 -180.6027582752   -0.0563089497   -0.0064689003
 -180.5850708752   -0.0563134775   -0.0064696909
 -180.5673834753   -0.0563180061   -0.0064704815
 -180.5496960753   -0.0563225355   -0.0064712722
 -180.5320086753   -0.0563270657   -0.0064720629
 -180.5143212753   -0.0563315968   -0.0064728537
 -180.4966338754   -0.0563361286   -0.0064736445
 -180.4789464754   -0.0563406612   -0.0064744354
 -180.4612590754   -0.0563451947   -0.0064752263
 -180.4435716755   -0.0563497289   -0.0064760173
 -180.4258842755   -0.0563542639   -0.0064768083
 -180.4081968755   -0.0563587998   -0.0064775994
 -180.3905094755   -0.0563633364   -0.0064783905
 -180.3728220756   -0.0563678739   -0.0064791816
 -180.3551346756   -0.0563724121   -0.0064799728
 -180.3374472756   -0.0563769512   -0.0064807641
 -180.3197598756   -0.0563814911   -0.0064815554
 -180.3020724757   -0.0563860317   -0.0064823468
 -180.2843850757   -0.0563905732   -0.0064831382
 -180.2666976757   -0.0563951155   -0.0064839297
 -180.2490102757   -0.0563996586   -0.0064847212
 -180.2313228758   -0.0564042025   -0.0064855127
 -180.2136354758   -0.0564087472   -0.0064863043
 -180.1959480758   -0.0564132927   -0.0064870960
 -180.1782606759   -0.0564178390   -0.0064878877
 -180.1605732759   -0.0564223861   -0.0064886794
 -180.1428858759   -0.0564269341   -0.0064894712
 -180.1251984759   -0.0564314828   -0.0064902630
 -180.1075110760   -0.0564360324   -0.0064910549
 -180.0898236760   -0.0564405827   -0.0064918469
 -180.0721362760   -0.0564451339   -0.0064926388
 -180.0544488760   -0.0564496859   -0.0064934309
 -180.0367614761   -0.0564542387   -0.0064942229
 -180.0190740761   -0.0564587923   -0.0064950151
 -180.0013866761   -0.0564633467   -0.0064958072
 -179.9836992761   -0.0564679019   -0.0064965994
 -179.9660118762   -0.0564724579   -0.0064973917
 -179.9483244762   -0.0564770148   -0.0064981840
 -179.9306370762   -0.0564815724   -0.0064989764
 -179.9129496763   -0.0564861309   -0.0064997688
 -179.8952622763   -0.0564906902   -0.0065005612
 -179.8775748763   -0.0564952502   -0.0065013537
 -179.8598874763   -0.0564998111   -0.0065021462
 -179.8422000764   -0.0565043729   -0.0065029388
 -179.8245126764   -0.0565089354   -0.0065037315
 -179.8068252764   -0.0565134987   -0.0065045241
 -179.7891378764   -0.0565180629   -0.0065053169
 -179.7714504765   -0.0565226278   -0.0065061096
 -179.7537630765   -0.0565271936   -0.0065069024
 -179.7360756765   -0.0565317602   -0.0065076953
 -179.7183882766   -0.0565363276   -0.0065084882
 -179.7007008766   -0.0565408958   -0.0065092811
 -179.6830134766   -0.0565454649   -0.0065100741
 -179.6653260766   -0.0565500347   -0.0065108672
 -179.6476386767   -0.0565546054   -0.0065116602
 -179.6299512767   -0.0565591769   -0.0065124534
 -179.6122638767   -0.0565637492   -0.0065132465
 -179.5945764767   -0.0565683223   -0.0065140397
 -179.5768890768   -0.0565728962   -0.0065148330
 -179.5592016768   -0.0565774710   -0.0065156263
 -179.5415142768   -0.0565820465   -0.0065164196
 -179.5238268768   -0.0565866229   -0.0065172130
 -179.5061394769   -0.0565912001   -0.0065180065
 -179.4884520769   -0.0565957782   -0.0065187999
 -179.4707646769   -0.0566003570   -0.0065195935
 -179.4530772770   -0.0566049367   -0.0065203870
 -179.4353898770   -0.0566095171   -0.0065211806
 -179.4177024770   -0.0566140984   -0.0065219743
 -179.4000150770   -0.0566186806   -0.0065227680
 -179.3823276771   -0.0566232635   -0.0065235617
 -179.3646402771   -0.0566278473   -0.0065243555
 -179.3469528771   -0.0566324318   -0.0065251493
 -179.3292654771   -0.0566370172   -0.0065259432
 -179.3115780772   -0.0566416034   -0.0065267371
 -179.2938906772   -0.0566461905   -0.0065275310
